"timestamp","payload"
"250928","{""internal_temperature"":{""N"":""32.38000107""},""pressure"":{""N"":""974.1640625""},""external_temperature"":{""N"":""31.1875""},""timestamp"":{""N"":""250928""}}"
"699624","{""internal_temperature"":{""N"":""31.46999931""},""pressure"":{""N"":""973.3546753""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""699624""}}"
"456721","{""internal_temperature"":{""N"":""31.47999954""},""pressure"":{""N"":""973.3688965""},""external_temperature"":{""N"":""30.25""},""timestamp"":{""N"":""456721""}}"
"469152","{""internal_temperature"":{""N"":""30.97999954""},""pressure"":{""N"":""973.4032593""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""469152""}}"
"257847","{""internal_temperature"":{""N"":""31.5""},""pressure"":{""N"":""973.423584""},""external_temperature"":{""N"":""30.0625""},""timestamp"":{""N"":""257847""}}"
"866902","{""internal_temperature"":{""N"":""31.12999916""},""pressure"":{""N"":""973.4713135""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""866902""}}"
"336788","{""internal_temperature"":{""N"":""31.48999977""},""pressure"":{""N"":""973.4277954""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""336788""}}"
"54070","{""internal_temperature"":{""N"":""32.22999954""},""pressure"":{""N"":""973.9360352""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""54070""}}"
"91340","{""internal_temperature"":{""N"":""32.27000046""},""pressure"":{""N"":""974.0223389""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""91340""}}"
"1102212","{""internal_temperature"":{""N"":""31.21999931""},""pressure"":{""N"":""973.3822632""},""external_temperature"":{""N"":""30.9375""},""timestamp"":{""N"":""1102212""}}"
"91228","{""internal_temperature"":{""N"":""32.54000092""},""pressure"":{""N"":""971.4802856""},""external_temperature"":{""N"":""32.75""},""timestamp"":{""N"":""91228""}}"
